ID,Title,Location,Salary,Summary
http://kr.indeed.com/viewjob?jk=1e974ff27c6eb340,Autonomous Driving 분야 엔지니어,포티투닷 서울 강남구,,"프로그래밍 기술 (C/C++, Python 등) - 이동 로봇/드론 관련... platform 개발 경험 - 뛰어난 프로그래밍 기술 (C/C++, Python) - 3D geometry, math, physics 관련 경험 및..."
http://kr.indeed.com/viewjob?jk=3933762f9f06df56,Data Scientist(CSS 모델링),Toss 서울 강남구,,"3년 이상) - 머신러닝 등 최신 알고리즘을 활용하여 실제 비즈니스 문제 해결 경험이 있으신 분 - SQL, Python, R 등 통계/분석 프로그램을 다룰 수 있으신 분 # 우대 사항 - 금융권 데이터 분석 및 모델링 업무..."
http://kr.indeed.com/viewjob?jk=5528965f86b8cb00,[뉴플랫폼기술] 클라우드 아키텍트,한국카카오은행 성남 분당구,,인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
http://kr.indeed.com/viewjob?jk=83f9ed690d907b50,(주)오픈시스넷 딥러닝 개발자 정규직,오픈시스넷 성남 분당구,,"직책: 대리, 팀원 [자격요건]경력사항: 경력(3년 이상 )학력사항: 대학교(4년)졸업 이상우대사항 : - Python 개발 가능자- 딥러닝 프레임워크 기반 지식 보유자- OpenCV, NumPy, SciPy 라이브러리 지식..."
http://kr.indeed.com/viewjob?jk=2b09f13b5790dd69,2021년 한화시스템 방산부문 프로젝트/기간제 엔지니어 채용(상시),한화그룹 4.2 서울,,분야 경험자 [우대 요건] 무인기 GCS 개발 유경험자 SW시험/분석 도구 개발 유경험자 C/C++/C#/ Python/JAVA 프로그래밍 숙련자 0명 판교 한화인1:1문의하기 활용 지휘통제-SW 계약기간 : 입사 시...
http://kr.indeed.com/viewjob?jk=ce4ab6c3e1b94ae2,Data Science Manager,NielsenIQ 서울,,automation and generalization. Working knowledge of Python or R. Knowledgeable with relational database management system...
http://kr.indeed.com/viewjob?jk=e8abe98a79dfc9aa,정보 보안 운영 관리 엔지니어,이스트게임즈 서울 서초구,,"각종 해킹 시도 분석)- 각종 보안 시스템 구축 및 운영 관리(IPS, 웹 방화벽)- 업무 자동화 툴 개발( Python , Bash, PHP, C# 등) [자격요건]- 정보 시스템에 대한 기본적 이해도가 높은자(Windows..."
http://kr.indeed.com/viewjob?jk=c8c02d6751fce8a8,Python 경력 정규직,브라이트컨설팅 서울 강남구,,브라이트컨설팅 Python 경력 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [자격요건] 경력사항: 경력(7년 이상 12년 이하) 학력사... 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Python
http://kr.indeed.com/viewjob?jk=dae2bfc8238f500e,[대기업 물류회사] 물류연구소 빅데이터 분석 (대리~과장급),비에이블컨설팅그룹 서울 중구,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷·IT·통신·모바일·게임>빅데이터·AI...
http://kr.indeed.com/viewjob?jk=39ccd72cab530083,의료기기 기구설계 정규직,다인그룹 경기도 김포,,"험자• 이미지 가공 및 처리 경험자• 하드웨어 입력 처리 경험자• 경력: 3년~10년[우대사항]• Java, Python, C++, C# 최소한 한가지 이상의 주요 언어에 능통하신 분• PACS, DICOM, HL7 등 의료..."
